‘¿ ”À‹“≈“	 ≤À‹ ≤—“‹ ÕŒ¬»Õ ¬≤ƒ 1.1.2018	ƒ¿“¿ Œ—“¿ÕÕ‹ŒØ œ”¡À≤ ¿÷≤Ø
http://bioweb.lnu.edu.ua/news	15	26.06.2018	
23.02.2018	geology	2	http://geology.lnu.edu.ua/news/dodatkovyj-rozklad-na-vesnyanyj-semestr-dlya-i-v-kursiv	
17.02.2018	geology	2	http://geology.lnu.edu.ua/news/vypuscheno-videoprezentatsiyu-fakultetu	
09.02.2018	geology	2	http://geology.lnu.edu.ua/news/rozklad-zanyat-heolohichnoho-fakultetu-na-vesnyanyj-semestr-2018-roku	
09.02.2018	geology	3	http://geology.lnu.edu.ua/news/vseukrajinska-olimpiada-lvivskoho-natsionalnoho-universytetu-imeni-ivana-franka	
23.01.2018	geology	3	http://geology.lnu.edu.ua/news/hrafik-likvidatsiji-akademzaborhovanosti-po-formi-2-zymovoji-zalikovo-ekzamenatsijnoji-sesiji-2017-2018-navchalnyj-rik	
http://econom.lnu.edu.ua/news	16	04.06.2018	
04.06.2018	econom	1	http://econom.lnu.edu.ua/news/opublikovano-materialy-xxv-mizhnarodnoji-naukovoji-konferentsiya-studentiv-aspirantiv-ta-molodyh-uchenyh-aktualni-problemy-funktsionuvannya-hospodarskoji-systemy-ukrajiny	
24.05.2018	econom	1	http://econom.lnu.edu.ua/news/rozporyadzhennya-dekana-pro-narahuvannya-dodatkovyh-baliv-za-uchast-u-naukovij-naukovo-tehnichnij-diyalnosti-tvorchij-aktyvnosti-dlya-mystetskyh-spetsialnostej-hromadskomu-zhytti-ta-sportyvnij-diy	
22.05.2018	econom	1	http://econom.lnu.edu.ua/news/23-travnya-2018-r-kruhlyj-stil-novi-modeli-ekonomiky-staloho-rozvytku-problemy-ta-perspektyvy	
21.05.2018	econom	1	http://econom.lnu.edu.ua/news/peremozhtsi-konkursu-uchnivskyh-reklamnyh-videoproektiv-eso-life-zhyttya-u-styli-eko-vyznacheni-vitaemo	
17.05.2018	econom	1	http://econom.lnu.edu.ua/news/studenty-ekonomichnoho-fakultetu-peremozhtsi-troh-vseukrajinskyh-olimpiad-z-finansovyh-dystsyplin-ta-spetsialnostej	
14.05.2018	econom	2	http://econom.lnu.edu.ua/news/rozklad-ispytiv-litnoji-ekzamenatsijnoji-sesiji-2017-2018-n-r-dlya-studentiv-ekonomichnoho-fakultetu	
14.05.2018	econom	2	http://econom.lnu.edu.ua/news/dodano-rozklad-vidpratsyuvan-zanyat-dlya-studentiv-mahistratury-ekonomichnoho-fakultetu-na-2-semestr-2017-2018-n-r	
10.05.2018	econom	2	http://econom.lnu.edu.ua/news/ekonomichnyj-zaklykaje-zhyvit-u-styli-eko	
07.05.2018	econom	2	http://econom.lnu.edu.ua/news/lektsiya-doktora-romana-sheremety-case-western-reserve-university-usa-faktory-ekonomichnoho-zrostannya-ta-rozvytku-porady-dlya-ukrajiny-8-travnya-2018-r	
16.04.2018	econom	2	http://econom.lnu.edu.ua/news/olha-pavlyshyn-pryzerka-vseukrajinskoho-konkursu-studentskyh-naukovyh-robit-zi-spetsialnosti-menedzhment-orhanizatsij	
13.04.2018	econom	3	http://econom.lnu.edu.ua/news/lvivskyj-universytet-i-natsionalnyj-bank-ukrajiny-pidpysaly-memorandum-pro-spivpratsyu	
13.04.2018	econom	3	http://econom.lnu.edu.ua/news/natsionalni-banky-ukrajiny-ta-polschi-provely-u-lvivskomu-universyteti-mizhnarodnu-naukovu-konferentsiyu-studentiv-ta-molodyh-doslidnykiv	
05.04.2018	econom	3	http://econom.lnu.edu.ua/news/olha-dubyk-ta-yaroslav-knysh-pryzery-ii-turu-vseukrajinskoho-konkursu-studentskyh-naukovyh-robit-zi-spetsialnosti-finansy-i-kredyt	
03.04.2018	econom	3	http://econom.lnu.edu.ua/news/student-ekonomichnoho-fakultetu-andrij-posternak-pryzer-vseukrajinskoji-olimpiady-z-ekonomichnoji-teoriji	
25.03.2018	econom	3	http://econom.lnu.edu.ua/news/studenty-ekonomichnoho-fakultetu-olha-bura-ta-iryna-dobrovolska-pryzery-ii-turu-vseukrajinskoho-konkursu-studentskyh-naukovyh-robit-iz-spetsialnosti-upravlinnya-finansovo-ekonomichnoyu-bezpe	
16.03.2018	econom	4	http://econom.lnu.edu.ua/news/ekonomichnyj-fakultet-lvivskoho-natsionalnoho-universytetu-imeni-ivana-franka-potrapyv-u-5-ku-lideriv-u-schorichnomu-zarplatnomu-rejtynhu-zhurnalu-hroshi	
http://electronics.lnu.edu.ua/news	24	??.??.????	
??.??.????	electronics	1	no_link	
??.??.????	electronics	1	no_link	
??.??.????	electronics	1	no_link	
??.??.????	electronics	1	no_link	
??.??.????	electronics	1	no_link	
??.??.????	electronics	2	no_link	
??.??.????	electronics	2	no_link	
??.??.????	electronics	2	no_link	
??.??.????	electronics	2	no_link	
??.??.????	electronics	2	no_link	
??.??.????	electronics	3	no_link	
??.??.????	electronics	3	no_link	
??.??.????	electronics	3	no_link	
??.??.????	electronics	3	no_link	
??.??.????	electronics	3	no_link	
??.??.????	electronics	4	no_link	
??.??.????	electronics	4	no_link	
??.??.????	electronics	4	no_link	
??.??.????	electronics	4	no_link	
??.??.????	electronics	4	no_link	
??.??.????	electronics	5	no_link	
??.??.????	electronics	5	no_link	
??.??.????	electronics	5	no_link	
??.??.????	electronics	5	no_link	
http://journ.lnu.edu.ua/news	45	28.06.2018	
28.06.2018	journ	1	http://journ.lnu.edu.ua/news/dobrodiyu-sadovyj-buduvaty-parkinh-pered-universytetom-ne-idealne-mistse	
27.06.2018	journ	1	http://journ.lnu.edu.ua/news/tvorchyj-zalik-skasovano	
26.06.2018	journ	1	http://journ.lnu.edu.ua/news/vchena-rada-2-lypnya-2018	
13.06.2018	journ	1	http://journ.lnu.edu.ua/news/informatsiya-schodo-dodatkovyh-baliv-do-stypendialnoho-rejtynhu	
12.06.2018	journ	1	http://journ.lnu.edu.ua/news/vystavka-karykatur-antylokshyna-na-fakulteti-zhurnalistyky	
11.06.2018	journ	2	http://journ.lnu.edu.ua/news/dyyavol-vhodyt-holkoyu-a-rozduvaetsya-horoyu	
22.05.2018	journ	2	http://journ.lnu.edu.ua/news/na-kafedri-novyh-medij-vidbuvsya-kruhlyj-stil	
15.05.2018	journ	2	http://journ.lnu.edu.ua/news/oholoshennya	
15.05.2018	journ	2	http://journ.lnu.edu.ua/news/rosijske-durysvitstvo-v-teleradioefiri-ukrajiny	
10.05.2018	journ	2	http://journ.lnu.edu.ua/news/vazhlyva-informatsiya-dlya-vstupnykiv-do-mahistratury	
27.04.2018	journ	3	http://journ.lnu.edu.ua/news/na-fakulteti-konferentsiya-molodyh-naukovtsiv	
25.04.2018	journ	3	http://journ.lnu.edu.ua/news/antyukrajinskyj-rejvah-promoskovskyh-pidlabuznykiv	
25.04.2018	journ	3	http://journ.lnu.edu.ua/news/teoriya-i-praktyka-osnova-zhurnalistskoho-profesionalizu	
25.04.2018	journ	3	http://journ.lnu.edu.ua/news/prohrama-druhoji-vseukrajinskoji-naukovo-praktychnoji-konferentsiji-studentiv-ta-molodyh-uchenyh-profesijne-stanovlennya-zhurnalista-tradytsiji-ta-novi-pidhody	
25.04.2018	journ	3	http://journ.lnu.edu.ua/news/tvorchyj-zalik-28-kvitnya	
23.04.2018	journ	4	http://journ.lnu.edu.ua/news/vitajemo-kolehu	
17.04.2018	journ	4	http://journ.lnu.edu.ua/news/vidznaka-za-uchast-u-ii-turi-vseukrajinskoho-konkursu-studentskyh-naukovyh-robit-z-haluzi-znan-zhurnalistyka	
16.04.2018	journ	4	http://journ.lnu.edu.ua/news/nashi-peremozhtsi	
13.04.2018	journ	4	http://journ.lnu.edu.ua/news/rozklad-provedennya-kontrolnyh-zamiriv-znan	
04.04.2018	journ	4	http://journ.lnu.edu.ua/news/pro-naukovo-metodychnyj-seminar-na-kafedri-novyh-medij	
04.04.2018	journ	5	http://journ.lnu.edu.ua/news/oholoshennya-pro-zustrich-v-o-dekana-zi-studentamy-fakultetu	
04.04.2018	journ	5	http://journ.lnu.edu.ua/news/lovy-moment-rejestrujsya-na-erasmus	
28.03.2018	journ	5	http://journ.lnu.edu.ua/news/hromadyanska-veb-zhurnalistyka-dostupna-dlya-shkolyariv	
28.03.2018	journ	5	http://journ.lnu.edu.ua/news/prezentatsiya-pidruchnyka-lohika	
22.03.2018	journ	5	http://journ.lnu.edu.ua/news/hotujmosya-do-yuvileyu-profesora-oleksandry-antonivny-serbenskoji	
16.03.2018	journ	6	http://journ.lnu.edu.ua/news/ekzamenatsijni-pytannya-na-derzhavnyj-ispyt-zi-spetsialnosti-zhurnalistyka-dlya-bakalavriv-vypusk-2018-r	
14.03.2018	journ	6	http://journ.lnu.edu.ua/news/byurokratychnij-majsternosti-nemae-mezh	
14.03.2018	journ	6	http://journ.lnu.edu.ua/news/frankostore-kramnychka-brendovyh-rechej-lnu-im-i-franka	
03.03.2018	journ	6	http://journ.lnu.edu.ua/news/informatsiya-schodo-pryzupynennya-navchannya	
01.03.2018	journ	6	http://journ.lnu.edu.ua/news/boronimo-oberihajmo-ukrajinsku-tsyvilizatsiyu-vid-zovnishnih-vnutrishnih-ahresoriv	
27.02.2018	journ	7	http://journ.lnu.edu.ua/news/vidbuvsya-etap-studentskoji-olimpiady-zi-spetsialnosti-zhurnalistyka	
26.02.2018	journ	7	http://journ.lnu.edu.ua/news/zaproshujemo-vzyaty-uchast-u-naukovo-praktychnij-konferentsiji-studentiv-ta-molodyh-uchenyh	
19.02.2018	journ	7	http://journ.lnu.edu.ua/news/posylyujmo-informatsijno-psyholohichnu-bezpeku-v-umovah-hibrydnoji-vijny-rosiji-proty-ukrajiny	
15.02.2018	journ	7	http://journ.lnu.edu.ua/news/korysna-informatsiya-dlya-abiturijentiv	
13.02.2018	journ	7	http://journ.lnu.edu.ua/news/rezultaty-tvorchoho-zaliku	
12.02.2018	journ	8	http://journ.lnu.edu.ua/news/uvahy-abiturijentiv-rozpochalys-sesiji-tvorchoho-zaliku	
30.01.2018	journ	8	http://journ.lnu.edu.ua/news/ukrajinotsentryzm-mae-buty-vyznachalnym-pryntsypom-funktsionuvannya-suspilnoho-teleradiomovlennya	
27.01.2018	journ	8	http://journ.lnu.edu.ua/news/vyjshov-vypusk-42-visnyka-lvivskoho-universytetu-seriya-zhurnalistyka-elektronnyj-variant	
23.01.2018	journ	8	http://journ.lnu.edu.ua/news/utverdzhujmo-natsionalno-duhovnu-sobornist-ukrajiny	
18.01.2018	journ	8	http://journ.lnu.edu.ua/news/proekt-stypendialnoho-rejtynhu-za-semestr-2017-r	
16.01.2018	journ	9	http://journ.lnu.edu.ua/news/ne-tvorimo-zlovisnu-maru	
16.01.2018	journ	9	http://journ.lnu.edu.ua/news/hrafik-skladannya-taloniv-likvidatsiya-zaborhovanosti	
03.01.2018	journ	9	http://journ.lnu.edu.ua/news/dodatkovi-baly-rejtynhu-uspishnosti-studentiv-fakultetu-zhurnalistyky-za-pershyj-semestr-2017-2018-n-r	
03.01.2018	journ	9	http://journ.lnu.edu.ua/news/vpiznaete-dyyavolski-rohy-povodatora-russkoho-mira-v-ukrajini-za-pryvitnoyu-usmishkoyu-oksany-marchenko	
03.01.2018	journ	9	http://journ.lnu.edu.ua/news/analizujmo-osmyslyujmo-oprylyudneni-aktualni-dumky	
http://lingua.lnu.edu.ua/news	54	02.07.2018	
02.07.2018	lingua	1	http://lingua.lnu.edu.ua/news/mizhnarodnyj-seminar-pamyat-i-literatura	
21.06.2018	lingua	1	http://lingua.lnu.edu.ua/news/zasidannya-kafedry-3	
19.06.2018	lingua	1	http://lingua.lnu.edu.ua/news/vruchennya-dyplomiv-2	
12.06.2018	lingua	1	http://lingua.lnu.edu.ua/news/u-lvivskomu-universyteti-vidbulasya-mizhnarodna-konferentsiya-komunikatsiya-v-suchasnomu-sotsiumi	
05.06.2018	lingua	1	http://lingua.lnu.edu.ua/news/7-chervnya-2018-vitse-konsul-ssha-obhovoryuvatyme-pytannya-navchannya-u-ssha-ta-prohram-obminu	
05.06.2018	lingua	2	http://lingua.lnu.edu.ua/news/rehionalnyj-den-2-0	
31.05.2018	lingua	2	http://lingua.lnu.edu.ua/news/hosti-z-nimechchyny	
31.05.2018	lingua	2	http://lingua.lnu.edu.ua/news/rozklad-litnoji-sesiji-zaochnoho-navchannya	
31.05.2018	lingua	2	http://lingua.lnu.edu.ua/news/rozklad-litnoji-zalikovo-ispytovoji-sesiji-2017-2018-n-r-zaochne-navchannya	
30.05.2018	lingua	2	http://lingua.lnu.edu.ua/news/rozklad-ekzamenatsijnyh-komisij	
23.05.2018	lingua	3	http://lingua.lnu.edu.ua/news/kontseptsiya-rozvytkukafedry-inozemnyh-mov-dlya-humanitarnyh-fakultetiv	
18.05.2018	lingua	3	http://lingua.lnu.edu.ua/news/rozklad-ispytiv-denne-navchannya-2-yj-semestr-2017-2018	
18.05.2018	lingua	3	http://lingua.lnu.edu.ua/news/benzhamen-bekner-zavitav-na-fakultet	
17.05.2018	lingua	3	http://lingua.lnu.edu.ua/news/ohlyadovyh-lektsij-dlya-studentiv-vypusknykiv-5-kursu-zaochnoho-navchannya-fakultetu-inozemnyh-mov-2017-18-n-r	
17.05.2018	lingua	3	http://lingua.lnu.edu.ua/news/metodychni-vkazivky-dlya-vykonannya-mahisterskyh-ta-kursovyh-robit	
16.05.2018	lingua	4	http://lingua.lnu.edu.ua/news/call-for-abstracts	
16.05.2018	lingua	4	http://lingua.lnu.edu.ua/news/rozklad-ispytiv-fakultetu-inozemnyh-mov-na-ii-semestr-2017-2018-n-r-dennoho-navchannya	
14.05.2018	lingua	4	http://lingua.lnu.edu.ua/news/vidkryta-lektsiya-profesora-morskoji-l-i	
